Luis García Berlanga Martí - Menorca;52;T;23;2;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3463402980947426, 39.45603425797373], ""type"": ""Point""}";39.45603425797373, -0.3463402980947426;2024-11-13T19:37:19+01:00
Francia - Menorca;56;T;15;0;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3444052893928658, 39.45842126509135], ""type"": ""Point""}";39.45842126509135, -0.3444052893928658;2024-11-13T19:38:07+01:00
Plaza España;58;T;11;8;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3815864106638383, 39.46621830848607], ""type"": ""Point""}";39.46621830848607, -0.3815864106638383;2024-11-13T19:35:24+01:00
Baleares - Río Escalona;59;T;11;3;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3545493213542055, 39.463088285667624], ""type"": ""Point""}";39.463088285667624, -0.3545493213542055;2024-11-13T19:31:00+01:00
Av. Puerto - Doctor Manuel Candela;65;T;17;1;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3508373061951808, 39.465516292011046], ""type"": ""Point""}";39.465516292011046, -0.3508373061951808;2024-11-13T19:39:24+01:00
Av. Puerto - José Aguilar;68;T;20;0;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3417332778594022, 39.46280327868023], ""type"": ""Point""}";39.46280327868023, -0.3417332778594022;2024-11-13T19:29:47+01:00
Colón, 44;70;T;7;10;17;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3716462894107889, 39.469213221319464], ""type"": ""Point""}";39.469213221319464, -0.3716462894107889;2024-11-13T19:31:55+01:00
Ramiro de Maeztu - Peris Brell;72;T;14;0;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.34644628196214244, 39.467257201162404], ""type"": ""Point""}";39.467257201162404, -0.34644628196214244;2024-11-13T19:38:53+01:00
Jerónimo Monsoriu - Industria;73;T;15;4;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3428792786496773, 39.4662592905475], ""type"": ""Point""}";39.4662592905475, -0.3428792786496773;2024-11-13T19:35:33+01:00
Aragón - Vicente Sancho Tello;78;T;2;18;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.358688329939162, 39.46994531050937], ""type"": ""Point""}";39.46994531050937, -0.358688329939162;2024-11-13T19:30:05+01:00
Micer Mascó - Rodriguez Fornos;81;T;8;12;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36097833354659675, 39.47512832851177], ""type"": ""Point""}";39.47512832851177, -0.36097833354659675;2024-11-13T19:32:57+01:00
Serrería, 67;84;T;7;7;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.33522597686590844, 39.467123092394516], ""type"": ""Point""}";39.467123092394516, -0.33522597686590844;2024-11-13T19:36:21+01:00
Blasco Ibañez - Doctor Gómez Ferrer (Clínico);87;T;2;31;33;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36188033357859983, 39.47851834019109], ""type"": ""Point""}";39.47851834019109, -0.36188033357859983;2024-11-13T19:37:19+01:00
Blasco Ibañez, 28 (F. Geografía e Historia);88;T;3;36;40;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36114233248377353, 39.477512336096844], ""type"": ""Point""}";39.477512336096844, -0.36114233248377353;2024-11-13T19:38:14+01:00
Blasco Ibañez - Yecla;96;T;10;11;21;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3482142912637639, 39.47355431688417], ""type"": ""Point""}";39.47355431688417, -0.3482142912637639;2024-11-13T19:39:18+01:00
Blasco Ibañez 166 - Pintor José Mongrell;99;T;11;6;21;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3404842660990001, 39.47134430635022], ""type"": ""Point""}";39.47134430635022, -0.3404842660990001;2024-11-13T19:37:21+01:00
Blasco Ibañez - Mestre Ripoll;100;T;2;18;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.33815025853445674, 39.471634305646866], ""type"": ""Point""}";39.471634305646866, -0.33815025853445674;2024-11-13T19:31:47+01:00
Ramón Llull - Serpis;102;T;20;0;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.346720283882565, 39.47583332394092], ""type"": ""Point""}";39.47583332394092, -0.346720283882565;2024-11-13T19:34:46+01:00
Albalat dels Tarongers - Professor Ernest Lluch;106;T;17;7;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.34138726522688073, 39.47674432466283], ""type"": ""Point""}";39.47674432466283, -0.34138726522688073;2024-11-13T19:37:45+01:00
Naranjos - Ingeniero Fausto Elio;109;T;11;6;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3335102388084858, 39.4768193210939], ""type"": ""Point""}";39.4768193210939, -0.3335102388084858;2024-11-13T19:32:51+01:00
Gascó Oliag - Primado Reig;117;T;8;21;30;F;13/11/2024 18:39:33;"{""coordinates"": [-0.357065317141581, 39.47925133992885], ""type"": ""Point""}";39.47925133992885, -0.357065317141581;2024-11-13T19:39:19+01:00
Músico Hipólito Martínez - Diógenes López Mecho;122;T;5;10;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3540663028794564, 39.48448535604776], ""type"": ""Point""}";39.48448535604776, -0.3540663028794564;2024-11-13T19:37:44+01:00
CALLE SANTA AMALIA  2, esquina POETA BODRIA;131;T;1;17;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3729122732215235, 39.48141722170027], ""type"": ""Point""}";39.48141722170027, -0.3729122732215235;2024-11-13T19:39:18+01:00
Economista Gay - Luis Crumiere;137;T;2;17;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3798963873712934, 39.48903338344832], ""type"": ""Point""}";39.48903338344832, -0.3798963873712934;2024-11-13T19:38:54+01:00
San Pancracio - Periodista Llorente;138;T;0;20;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.38422240207482833, 39.48819038284581], ""type"": ""Point""}";39.48819038284581, -0.38422240207482833;2024-11-13T19:39:24+01:00
Reus - Alquería de la Estrella;139;T;0;14;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.38287339995719183, 39.485706374097916], ""type"": ""Point""}";39.485706374097916, -0.38287339995719183;2024-11-13T19:37:04+01:00
Gregorio Gea - Padre Ferris;141;T;2;17;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3851564091174212, 39.483268367245344], ""type"": ""Point""}";39.483268367245344, -0.3851564091174212;2024-11-13T19:34:12+01:00
Gregorio Gea - Profesor Beltrán Báguena;142;T;0;25;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.38965942617943544, 39.48192036501599], ""type"": ""Point""}";39.48192036501599, -0.38965942617943544;2024-11-13T19:34:12+01:00
Jerónimo Monsoriu - Alcalde Cano Coloma;151;T;17;3;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.33711726031421224, 39.464669282422186], ""type"": ""Point""}";39.464669282422186, -0.33711726031421224;2024-11-13T19:35:42+01:00
Reina Doña María - Cádiz;152;T;6;6;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3727053849231208, 39.460925286769694], ""type"": ""Point""}";39.460925286769694, -0.3727053849231208;2024-11-13T19:33:52+01:00
Llano de la Zaidía - Doctor Olóriz;153;T;1;23;24;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3805912745331588, 39.48305822805289], ""type"": ""Point""}";39.48305822805289, -0.3805912745331588;2024-11-13T19:35:29+01:00
Pescadores - Progreso;154;T;11;3;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3295542305651281, 39.469876296228996], ""type"": ""Point""}";39.469876296228996, -0.3295542305651281;2024-11-13T19:35:41+01:00
Doctor Lluch - Virgen del Sufragio;158;T;9;4;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3277192268301427, 39.46669828513057], ""type"": ""Point""}";39.46669828513057, -0.3277192268301427;2024-11-13T19:38:32+01:00
José María de Haro - Justo y Pastor;160;T;10;10;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.33898126470999496, 39.467336291769534], ""type"": ""Point""}";39.467336291769534, -0.33898126470999496;2024-11-13T19:37:45+01:00
Mediterráneo - Plaza Cruz de Cañamelar;161;T;7;8;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3317262387298495, 39.46796929073871], ""type"": ""Point""}";39.46796929073871, -0.3317262387298495;2024-11-13T19:33:15+01:00
Armada Española - Mariano Cuber;162;T;10;8;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3297952360224295, 39.46360427573933], ""type"": ""Point""}";39.46360427573933, -0.3297952360224295;2024-11-13T19:33:31+01:00
Pavía - Columbretes;164;T;17;0;17;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3246342149862025, 39.46846028903177], ""type"": ""Point""}";39.46846028903177, -0.3246342149862025;2024-11-13T19:35:49+01:00
Don Vicente Guillot - Progreso;166;T;12;3;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.32881122495787873, 39.47334930757559], ""type"": ""Point""}";39.47334930757559, -0.32881122495787873;2024-11-13T19:37:43+01:00
Pavía (Instituto Isabel de Villena);169;T;18;0;18;F;13/11/2024 18:39:33;"{""coordinates"": [-0.32464520634897104, 39.47878532308192], ""type"": ""Point""}";39.47878532308192, -0.32464520634897104;2024-11-13T19:36:49+01:00
Gran Canaria - Ingeniero Manuel Maese;171;T;9;6;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.32900821806202085, 39.483060339803416], ""type"": ""Point""}";39.483060339803416, -0.32900821806202085;2024-11-13T19:32:49+01:00
Pío XII - Monestir de Poblet;173;T;4;16;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.394678441209281, 39.484541375368174], ""type"": ""Point""}";39.484541375368174, -0.394678441209281;2024-11-13T19:35:21+01:00
Monduber - Peset Aleixandre;174;T;1;18;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.38664740957644866, 39.489438388167024], ""type"": ""Point""}";39.489438388167024, -0.38664740957644866;2024-11-13T19:38:20+01:00
Alcudia de Crespins - Pedro Patricio Mey;177;T;4;11;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3734883620528129, 39.493545396079504], ""type"": ""Point""}";39.493545396079504, -0.3734883620528129;2024-11-13T19:38:44+01:00
Doctor Waksman - Nieves;180;T;13;2;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3706833820688013, 39.45602126922772], ""type"": ""Point""}";39.45602126922772, -0.3706833820688013;2024-11-13T19:36:58+01:00
Zapadores, 23;181;T;6;9;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3681913713233589, 39.45799927509706], ""type"": ""Point""}";39.45799927509706, -0.3681913713233589;2024-11-13T19:33:20+01:00
Ausias March - Pianista Amparo Iturbi;182;T;9;11;21;F;13/11/2024 18:39:33;"{""coordinates"": [-0.37496539716978367, 39.455432269344854], ""type"": ""Point""}";39.455432269344854, -0.37496539716978367;2024-11-13T19:36:50+01:00
Bombero Ramón Duart - Hermanos Maristas;184;T;2;13;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36557036636455215, 39.45278225629358], ""type"": ""Point""}";39.45278225629358, -0.36557036636455215;2024-11-13T19:35:54+01:00
Ángel Villena - Ausias March;187;T;11;4;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3688183809361798, 39.447960241518516], ""type"": ""Point""}";39.447960241518516, -0.3688183809361798;2024-11-13T19:39:25+01:00
Cra. Malilla - Bulevar Sur;190;T;5;12;18;F;13/11/2024 18:39:33;"{""coordinates"": [-0.38029642271654757, 39.44608224133691], ""type"": ""Point""}";39.44608224133691, -0.38029642271654757;2024-11-13T19:31:54+01:00
Beato Nicolás Factor - Convento de Jesús;199;T;4;11;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39155844823975844, 39.46158829801141], ""type"": ""Point""}";39.46158829801141, -0.39155844823975844;2024-11-13T19:34:46+01:00
Corts Valencianes - General Avilés;204;T;0;20;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3965874461307865, 39.485843380594176], ""type"": ""Point""}";39.485843380594176, -0.3965874461307865;2024-11-13T19:35:26+01:00
Nicasio Benlloch - Amics dels Corpus;205;T;1;22;24;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3930904323547156, 39.48928739053543], ""type"": ""Point""}";39.48928739053543, -0.3930904323547156;2024-11-13T19:36:46+01:00
Gaspar Aguilar - Músico Penella;209;T;1;17;18;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39301546105732643, 39.45208226727133], ""type"": ""Point""}";39.45208226727133, -0.39301546105732643;2024-11-13T19:30:39+01:00
Campos Crespo - Juan de Garay;210;T;3;12;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39671647037206986, 39.45555328036534], ""type"": ""Point""}";39.45555328036534, -0.39671647037206986;2024-11-13T19:31:34+01:00
Fray Juanípero Serra - Torrente;212;T;5;10;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.40039647823746194, 39.46148430130945], ""type"": ""Point""}";39.46148430130945, -0.40039647823746194;2024-11-13T19:33:26+01:00
Archiduque Carlos - José María Mortes Lerma;213;T;4;11;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39697246591763863, 39.463165305912604], ""type"": ""Point""}";39.463165305912604, -0.39697246591763863;2024-11-13T19:34:43+01:00
Av. del Cid - Burgos;216;T;2;14;17;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3994613007254756, 39.469162243634074], ""type"": ""Point""}";39.469162243634074, -0.3994613007254756;2024-11-13T19:38:21+01:00
Pintor Stolz - Nueve de Octubre;217;T;0;25;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.40459648652865626, 39.47032833321364], ""type"": ""Point""}";39.47032833321364, -0.40459648652865626;2024-11-13T19:38:44+01:00
Olimpia Arozena Torres - Juan Bautista Vives;218;T;3;11;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3973844614710405, 39.47074033078547], ""type"": ""Point""}";39.47074033078547, -0.3973844614710405;2024-11-13T19:29:33+01:00
Doctor Nicasio Benlloch - L'Horta Sud;228;T;0;14;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.398671446907537, 39.4936924079167], ""type"": ""Point""}";39.4936924079167, -0.398671446907537;2024-11-13T19:32:42+01:00
Aitana - Florista;229;T;2;13;16;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39480643424749534, 39.493104403991694], ""type"": ""Point""}";39.493104403991694, -0.39480643424749534;2024-11-13T19:30:42+01:00
Poeta Serrano Clavero - General Llorens;230;T;1;14;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.38678440634001116, 39.49475040560395], ""type"": ""Point""}";39.49475040560395, -0.38678440634001116;2024-11-13T19:31:49+01:00
San Jose Artesano - Francisco Morote Greus;238;T;0;15;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39438342966293366, 39.497449418355934], ""type"": ""Point""}";39.497449418355934, -0.39438342966293366;2024-11-13T19:30:25+01:00
Valle de la Ballestera - Pio Baroja;244;T;2;18;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.40613648554970433, 39.47850636088407], ""type"": ""Point""}";39.47850636088407, -0.40613648554970433;2024-11-13T19:36:19+01:00
Nueve de Octubre - Cieza;245;T;2;18;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.40527029936434095, 39.47213024806011], ""type"": ""Point""}";39.47213024806011, -0.40527029936434095;2024-11-13T19:36:16+01:00
Tres Cruces - Hospital General;246;T;0;20;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.4065094941412157, 39.469090330003425], ""type"": ""Point""}";39.469090330003425, -0.4065094941412157;2024-11-13T19:38:06+01:00
Tres Cruces - Músico Ayllón;247;T;0;15;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.4055734914728698, 39.467410323935766], ""type"": ""Point""}";39.467410323935766, -0.4055734914728698;2024-11-13T19:38:29+01:00
Arquitecto Segura del Lago - Camino Nuevo de Picaña;251;T;11;4;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.4044134972721287, 39.45583028505104], ""type"": ""Point""}";39.45583028505104, -0.4044134972721287;2024-11-13T19:32:36+01:00
Dels Gremis - Campos Crespo;252;T;19;1;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.40357449843597065, 39.45028826570709], ""type"": ""Point""}";39.45028826570709, -0.40357449843597065;2024-11-13T19:33:25+01:00
José Meliá Castelló - Campos Crespo;253;T;3;12;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.4011014879360589, 39.45272627278094], ""type"": ""Point""}";39.45272627278094, -0.4011014879360589;2024-11-13T19:34:21+01:00
Tres Forques - Colonia Española de Mexico;262;T;0;20;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.40922550688289966, 39.463472312903384], ""type"": ""Point""}";39.463472312903384, -0.40922550688289966;2024-11-13T19:33:55+01:00
Av. del Cid - Marconi;264;T;0;20;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.4144325204450301, 39.46916033373618], ""type"": ""Point""}";39.46916033373618, -0.4144325204450301;2024-11-13T19:36:29+01:00
Plaza Luis Cano, 5;268;T;2;8;10;F;13/11/2024 18:39:33;"{""coordinates"": [-0.41849350927046264, 39.50144544298018], ""type"": ""Point""}";39.50144544298018, -0.41849350927046264;2024-11-13T19:29:44+01:00
Moreras - Rona de Nazaret;275;T;18;2;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3350652633218127, 39.45230524022502], ""type"": ""Point""}";39.45230524022502, -0.3350652633218127;2024-11-13T19:37:02+01:00